Voltage (V),Current (A),Power (W)
0.0,9.343842550313369,0.0
0.47878787878787876,9.342965986427643,4.473298866228992
0.9575757575757575,9.34208942249802,8.945758356089012
1.4363636363636363,9.341212858511538,13.41737846949839
1.915151515151515,9.340336294451422,17.888159206343328
2.3939393939393936,9.339459730295934,22.35810056646602
2.8727272727272726,9.338583166016923,26.827202549648614
3.3515151515151516,9.33770660157793,31.295465155591486
3.83030303030303,9.336830036931731,35.76288838388396
4.309090909090909,9.335953472017172,40.2294722339649
4.787878787878787,9.33507690675504,44.695216705069576
5.266666666666667,9.334200341042743,49.16012179615845
5.745454545454545,9.333323774747408,53.62418750582147
6.224242424242424,9.332447207696942,58.087413832150055
6.703030303030303,9.331570639668458,62.54980077256554
7.181818181818182,9.33069407037328,67.01134832358991
7.66060606060606,9.329817499437526,71.47205648053959
8.139393939393939,9.328940926376951,75.93192523711663
8.618181818181817,9.328064350564386,80.39095458486398
9.096969696969696,9.32718777118754,84.84914451243938
9.575757575757574,9.32631118719436,89.30649500464901
10.054545454545455,9.325434597222275,93.76300604116214
10.533333333333333,9.32455799950651,98.2186775948019
11.012121212121212,9.32368139176141,102.67350962927564
11.49090909090909,9.32280477102667,107.127502096161
11.969696969696969,9.321928133468205,111.5806549309073
12.448484848484847,9.321051474120242,116.03296804753319
12.927272727272726,9.32017478655129,120.48444133159938
13.406060606060606,9.319298062431512,124.93507463090003
13.884848484848485,9.318421290972394,129.3848677431379
14.363636363636363,9.317544458201038,133.8338203996149
14.842424242424242,9.316667546020247,138.28193224365808
15.32121212121212,9.315790530991174,142.72920280209507
15.799999999999999,9.314913382756684,147.1756314475556
16.278787878787877,9.3140360619993,151.6212173486674
16.757575757575758,9.313158517796476,156.0659594042864
17.236363636363635,9.31228068419522,160.50985615667398
17.715151515151515,9.311402475775703,164.9529056769235
18.19393939393939,9.310523781905431,169.39510541381878
18.672727272727272,9.309644459297564,173.83645199451996
19.15151515151515,9.308764322372799,178.2769409618063
19.63030303030303,9.30788313077665,182.71656642779132
20.10909090909091,9.307000573212635,187.1553206176941
20.587878787878786,9.306116246504159,191.5931932689371
21.066666666666666,9.305229628477244,196.0301708399206
21.545454545454543,9.304340042840838,200.46623546847985
22.024242424242424,9.303446613703887,204.90136360121167
22.5030303030303,9.302548206672165,209.33552419014393
22.98181818181818,9.301643352566934,213.76867632081098
23.46060606060606,9.300730148641346,218.20076609327668
23.939393939393938,9.299806130661787,222.63172252190338
24.418181818181818,9.298868107269678,227.06145214660324
24.896969696969695,9.297911945515594,231.48983195259427
25.375757575757575,9.29693229319617,235.91670007037794
25.854545454545452,9.295922219411604,240.34184356369636
26.333333333333332,9.294872749325137,244.76498239889526
26.812121212121212,9.293772262097322,249.18574840920337
27.29090909090909,9.292605711946084,253.60365770238312
27.76969696969697,9.29135362068816,258.01807448480696
28.248484848484846,9.289990775256774,262.428163657405
28.727272727272727,9.288484544694706,266.8328287385024
29.206060606060603,9.28679270695006,271.23063063510506
29.684848484848484,9.284860645206962,275.6196814559012
30.16363636363636,9.28261773504387,279.997505862505
30.64242424242424,9.279972695896351,284.3608603057694
31.12121212121212,9.276807621631646,288.70549780047577
31.599999999999998,9.272970334430532,293.0258625680048
32.07878787878788,9.26826462353351,297.31469486280525
32.557575757575755,9.262437837737211,301.56252160196544
33.03636363636363,9.255165203682054,305.7570031834598
33.515151515151516,9.246030153512427,309.88210150862864
33.99393939393939,9.234499888947177,313.9170295582104
34.47272727272727,9.219895424677475,317.83494045797255
34.95151515151515,9.201355507371648,321.60131643037755
35.43030303030303,9.177794194802832,325.17202947162036
35.90909090909091,9.14785263643339,328.4910719446535
36.38787878787878,9.109846883743618,331.48800418179803
36.86666666666667,9.061715528771844,334.07524582738864
37.345454545454544,9.000973681693843,336.14545349453005
37.82424242424242,8.924683064064702,337.56937577471393
38.3030303030303,8.829451166475138,338.1947355886234
38.78181818181818,8.711474211743926,337.8468089754508
39.26060606060606,8.566637208160953,336.33136869373726
39.739393939393935,8.390677797443065,333.44045041111616
40.21818181818182,8.179408250926596,328.96092820090234
40.696969696969695,7.928973877348944,322.6852096145343
41.17575757575757,7.636111488250558,314.4226754616623
41.65454545454545,7.298365111061569,304.0100812625828
42.13333333333333,6.914222291662631,291.3192325553855
42.61212121212121,6.4831519585950454,276.2608570962531
43.090909090909086,6.005547226206936,258.7844895656443
43.56969696969697,5.4825951913920425,238.87501109646905
44.04848484848485,4.916105103381665,216.5469811598663
44.527272727272724,4.308325672910053,191.8379922355767
45.0060606060606,3.6617750005997016,164.80206760274777
45.484848484848484,2.9790970097432474,135.5037761098368
45.96363636363636,2.2629496765826724,104.01339604365447
46.44242424242424,1.5159243060957228,70.40319974310013
46.92121212121212,0.7404917323985964,34.744769649878386
47.4,-0.06102996646895832,-2.8928204106286244
